filename	read_id	run_id	batch_id	channel	mux	start_time	duration	minknow_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
PAO92523_pass_71307b67_e3e0455f_199.pod5	89952b5c-ef7c-4d31-b3ba-e8dbfe96fd79	e3e0455f7da9f1a836287fc130ffc62591587f55	0	276	1	4727.336200	1.197000	767	TRUE	4727.336200	997	1.197000	435	9.724998	2.896085	102.766815	19.594007	102.766815	19.594007
PAO92523_pass_71307b67_e3e0455f_199.pod5	d7902763-0a9f-4b2c-9dc5-f12d8e28ad8d	e3e0455f7da9f1a836287fc130ffc62591587f55	0	147	1	4726.864200	1.192600	608	FALSE	4726.908600	956	1.148200	212	6.780461	2.374973	117.607071	14.845972	117.607071	14.845972
PAO92523_pass_71307b67_e3e0455f_199.pod5	f1a9bf02-5839-4717-8e24-46805947df8b	e3e0455f7da9f1a836287fc130ffc62591587f55	0	146	1	4725.879000	0.787400	458	TRUE	4725.957000	591	0.709400	259	9.715199	2.856070	95.501030	20.396492	95.501030	20.396492
PAO92523_pass_71307b67_e3e0455f_199.pod5	da7c51ad-52f3-4701-832a-47111216ecc1	e3e0455f7da9f1a836287fc130ffc62591587f55	0	444	4	4727.774000	2.400600	1592	TRUE	4727.774000	2000	2.400600	1014	11.506099	3.101148	103.550636	20.864609	103.550636	20.864609
PAO92523_pass_71307b67_e3e0455f_199.pod5	3313e673-5510-47e9-b1d3-5f47e1750930	e3e0455f7da9f1a836287fc130ffc62591587f55	0	433	1	4726.919800	1.690000	1143	TRUE	4726.919800	1408	1.690000	787	9.222075	3.113472	101.827721	20.797735	101.827721	20.797735
PAO92523_pass_71307b67_e3e0455f_199.pod5	e1e5f8be-3f33-41f2-bf1c-f7e7bdfab201	e3e0455f7da9f1a836287fc130ffc62591587f55	0	418	1	4726.451400	1.638200	980	TRUE	4726.451400	1365	1.638200	630	11.561266	3.010945	99.019814	20.195871	99.019814	20.195871
PAO92523_pass_71307b67_e3e0455f_199.pod5	50fd91b3-4262-495e-b98e-59f6abbfa727	e3e0455f7da9f1a836287fc130ffc62591587f55	0	416	2	4727.397600	1.295000	757	FALSE	4727.397600	1079	1.295000	399	7.761611	2.679618	105.166924	12.037273	105.166924	12.037273
PAO92523_pass_71307b67_e3e0455f_199.pod5	449f88ca-c7dd-42ca-b1e9-bc1840c2e930	e3e0455f7da9f1a836287fc130ffc62591587f55	0	297	4	4723.049800	2.963200	1568	TRUE	4723.049800	2469	2.963200	675	9.127166	2.583071	102.011055	18.657776	102.011055	18.657776
PAO92523_pass_71307b67_e3e0455f_199.pod5	e7eeddff-6182-40a1-873f-9e33f1fabdfa	e3e0455f7da9f1a836287fc130ffc62591587f55	0	293	1	4727.465800	2.112000	1322	TRUE	4727.465800	1760	2.112000	840	10.549935	3.035574	100.954109	18.189659	100.954109	18.189659
PAO92523_pass_71307b67_e3e0455f_199.pod5	345d3d88-43cb-4f32-930b-b50c97a1d1eb	e3e0455f7da9f1a836287fc130ffc62591587f55	0	293	1	4724.937400	2.120800	1351	TRUE	4724.937400	1767	2.120800	877	10.065786	3.061004	101.144920	18.323406	101.144920	18.323406
PAO92523_pass_71307b67_e3e0455f_199.pod5	e9b07713-206d-44d7-9ddc-a7f844e2c18e	e3e0455f7da9f1a836287fc130ffc62591587f55	0	292	3	4728.857200	1.265600	774	TRUE	4728.857200	1054	1.265600	424	9.623682	2.768857	101.055138	18.858397	101.055138	18.858397
PAO92523_pass_71307b67_e3e0455f_199.pod5	24c7677d-99c9-45ce-aa1f-3a9ba6b07daf	e3e0455f7da9f1a836287fc130ffc62591587f55	0	248	1	4728.938200	1.891800	1128	TRUE	4728.938200	1576	1.891800	709	10.342906	2.945275	96.195053	20.329618	96.195053	20.329618
PAO92523_pass_71307b67_e3e0455f_199.pod5	58b7a280-9b75-4331-945c-e61ba3a9056b	e3e0455f7da9f1a836287fc130ffc62591587f55	0	187	2	4726.897600	2.133800	1304	TRUE	4726.897600	1778	2.133800	778	10.025149	2.880831	100.667900	20.128998	100.667900	20.128998
PAO92523_pass_71307b67_e3e0455f_199.pod5	dedc0416-22ee-4dfb-aa7b-358353db4119	e3e0455f7da9f1a836287fc130ffc62591587f55	0	186	2	4727.847800	2.326800	1406	TRUE	4727.847800	1939	2.326800	866	9.385620	2.882857	96.920883	19.527134	96.920883	19.527134
